AGS,Biomasse,Erdgas,Mineralölprodukte,Solare Strahlungsenergie,Speicher,Wind,andere Gase,Gesamt
14713000,366.0,7113.1,1532.0,32859.08,1070.88,800.0,,43741.06
14729010,75.0,,,1532.92,16.6,,,1624.52
14729020,,,,126.99,41.15,,,168.14
14729030,,61.4,,148.81,16451.86,,,16662.07
14729040,,19.2,,84.52,22.75,,,126.47
14729050,,3697.28,,2988.52,70.7,,,6756.51
14729060,,,,312.97,40.45,,,353.43
14729070,,0.75,810.0,1614.56,117.77,,,2543.07
14729080,,1.5,,1503.87,28.3,,3.0,1536.67
14729100,,,,844.7,14.7,,,859.4
14729140,1067.0,0.75,,979.59,37.48,,,2084.82
14729150,1030.0,,,130.36,11.21,,2.0,1173.57
14729160,2030.0,397.25,,6837.61,149.83,16750.0,,26164.69
14729170,,,,5975.74,16468.45,,,22444.18
14729190,,,,1030.76,59.2,,,1089.96
14729220,,,,372.33,10.35,,,382.68
14729230,,49.1,,1963.36,12.71,,,2025.17
14729245,,1.5,,9639.73,52.1,,,9693.33
14729250,,0.75,,160.12,42.05,,,202.92
14729260,,,,2705.38,115.06,,,2820.44
14729270,,3.0,,377.97,115.8,800.0,,1296.77
14729300,,51.75,,186.54,47.6,,,285.89
14729320,,1.5,,619.09,24.1,,,644.69
14729330,,,,632.39,11.22,,,643.62
14729340,,,,100.56,7.95,,,108.51
14729350,,20.75,,1274.04,37.05,,,1331.84
14729360,,,,1478.76,10.7,,,1489.46
14729370,,0.75,,169.13,43.15,,,213.03
14729380,,,,195.41,35.15,,,230.56
14729400,,,,107.89,26.73,,,134.62
14729410,340.0,198.5,,801.1,70.36,,,1409.96
14729430,,20.66,,233.6,64.15,,,318.41
14730010,,,,139.46,13.5,,,152.96
14730020,,146.5,,2257.25,43.35,,,2447.1
14730030,,,,3984.96,7.75,,,3992.71
14730045,,2.43,,7178.97,17.7,,,7199.1
14730050,,,,1270.58,,,,1270.58
14730060,,,,2508.04,6.35,,,2514.39
14730070,,1139.75,,11047.63,50.4,,,12237.78
14730080,,,,5083.76,31.6,,,5115.36
14730090,,,,724.24,10.1,,,734.34
14730100,,0.75,,423.35,,,,424.1
14730110,,76.25,,1468.95,62.5,,,1607.7
14730120,,,,1401.48,3.0,,,1404.48
14730140,600.0,0.75,,92.43,45.43,,,738.61
14730150,,,,666.5,93.78,2300.0,,3060.28
14730160,800.0,,,1353.67,49.54,,,2203.21
14730170,,,,6104.98,7.25,,,6112.23
14730180,,,,276.84,23.25,,,300.09
14730190,1166.0,1842.0,,2323.08,16475.78,,,21806.86
14730200,,,,1203.87,,,,1203.87
14730210,,,,1371.0,6.0,6150.0,,7527.0
14730230,,5.45,,2513.6,54.85,,,2573.9
14730250,,104.96,,257.14,50.55,2300.0,,2712.65
14730270,,384.55,,2345.34,81.3,,,2811.19
14730280,844.0,,,1637.45,32.8,,,2514.25
14730300,,1.5,,1756.24,96.31,,,1854.06
14730310,4950.0,2771.65,,5163.85,83.7,,,12969.21
14730320,,,,39.2,7.25,,,46.45
14730330,,,,2342.03,19.95,,,2361.98
14730340,,,,7011.92,77.97,,,7089.89
14730360,,,,124.55,8.0,,,132.55
