"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Meldedatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Strasse";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE987572326243";"PVA-Hausdach";"In Betrieb";"Solare Strahlungsenergie";"9,6";"8,5";"1/31/2019";"3/13/2019";"Sachsen";"04769";"Naundorf";"";"";"";"";"14730210";"";"";"32";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"7/25/2019";"";"";"natürliche Person (ABR944909228847)";"ABR944909228847";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL931110908866";"EEG938128855175";"E41081010000000000000000000290437";"1/31/2019";"";"";"";"";"";""
"SEE956902802078";"Querbitzsch";"In Betrieb";"Solare Strahlungsenergie";"634,705";"615";"1/30/2019";"1/31/2019";"Sachsen";"04769";"Mügeln";"Ablaßer Straße";"7";"";"";"14730200";"51,232";"12,961";"2081";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR990961559245)";"ABR990961559245";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL980379939968";"EEG980323050800";"";"1/30/2019";"";"";"";"";"";""
"SEE992983938985";"Haus";"In Betrieb";"Solare Strahlungsenergie";"5,4";"5,4";"6/16/2016";"2/1/2019";"Sachsen";"04420";"Markranstädt";"";"";"";"";"14729270";"";"";"20";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"Tatiana und Jens Hoffmann";"ABR959794392382";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL989574788494";"EEG999189477720";"E41081010000000000000000000247379";"6/16/2016";"";"";"";"";"";""
"SEE996241583627";"Speicher";"In Betrieb";"Speicher";"2,5";"2,5";"1/29/2019";"2/1/2019";"Sachsen";"04329";"Leipzig";"";"";"";"";"14713000";"";"";"";"";"";"";"";"";"";"5";"";"";"5/28/2019";"";"";"natürliche Person (ABR908722397616)";"ABR908722397616";"Teileinspeisung";"";"Netz Leipzig GmbH (SNB948859455841)";"SNB948859455841";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL928191649887";"EEG941366448177";"";"12/10/2009";"";"";"";"";"";""
"SEE931822555464";"Garage";"In Betrieb";"Solare Strahlungsenergie";"4,58";"4,58";"4/9/2014";"2/1/2019";"Sachsen";"04158";"Leipzig";"";"";"";"";"14713000";"";"";"14";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Sonstige)";"5/28/2019";"";"";"natürliche Person (ABR943655460105)";"ABR943655460105";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL909425624412";"EEG963084540629";"E41081010000000000000000000219659";"4/9/2014";"";"";"";"";"";""
"SEE948551710507";"EFH-Hausdach";"In Betrieb";"Solare Strahlungsenergie";"9";"7,6";"10/25/2017";"2/1/2019";"Sachsen";"04683";"Naunhof";"";"";"";"";"14729300";"";"";"30";"Süd";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR965973730012)";"ABR965973730012";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL915458133029";"EEG900853453056";"E41081010000000000000000000262094";"10/25/2017";"";"";"";"";"";""
"SEE918321451886";"VARTA home";"In Betrieb";"Speicher";"2,4";"2,4";"1/2/2017";"2/1/2019";"Sachsen";"04158";"Leipzig";"";"";"";"";"14713000";"";"";"";"";"";"";"";"";"";"6,9";"";"";"5/28/2019";"";"";"natürliche Person (ABR943655460105)";"ABR943655460105";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom); Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL905925055152";"EEG909939579840";"";"1/2/2017";"";"";"";"";"";""
"SEE992704755730";"Stromspeicher";"In Betrieb";"Speicher";"4,6";"4,6";"10/25/2017";"2/1/2019";"Sachsen";"04683";"Naunhof";"";"";"";"";"14729300";"";"";"";"";"";"";"";"";"";"9,7";"";"";"5/28/2019";"";"";"natürliche Person (ABR965973730012)";"ABR965973730012";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL981486666105";"EEG996807897069";"";"10/25/2017";"";"";"";"";"";""
"SEE952963957498";"Hausdach-Solar";"In Betrieb";"Solare Strahlungsenergie";"9,735";"2,2";"1/24/2019";"2/1/2019";"Sachsen";"04509";"Wiedemar";"";"";"";"";"14730340";"";"";"33";"Süd-West";"";"";"";"";"";"";"";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"5/28/2019";"";"";"natürliche Person (ABR987067257663)";"ABR987067257663";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL974160077052";"EEG957166288776";"E41081010000000000000000000285795";"1/24/2019";"";"";"";"";"";""
"SEE926009307073";"Batterie";"In Betrieb";"Speicher";"6,6";"4,6";"1/24/2019";"2/1/2019";"Sachsen";"04509";"Wiedemar";"";"";"";"";"14730340";"";"";"";"";"";"";"";"";"";"6,3";"";"";"5/28/2019";"";"";"natürliche Person (ABR987067257663)";"ABR987067257663";"Teileinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL902679488656";"EEG920194775525";"";"1/24/2019";"";"";"";"";"";""
